                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 0.8471,                 1.4056,                0.92544,                 1.1325,                0.67692,                0.75392,                0.79687,                0.57776,                0.61217,                 0.7016,                 0.6703,                0.35444,                 0.9044,                 1.2864,                0.96514,                 1.3275,             0.00094085,             0.00094085,             0.00094085
                     47,                0.83798,                 1.3444,                0.88701,                 1.1305,                0.69562,                   0.71,                0.76732,                0.57063,                 0.6532,                   0.65,                0.66571,                0.34914,                  0.859,                 1.3298,                0.92263,                 1.3027,             0.00092435,             0.00092435,             0.00092435
                     48,                 0.8219,                 1.3927,                0.94537,                 1.1208,                0.85407,                   0.69,                0.83008,                0.61906,                0.80043,                0.66207,                0.74323,                0.37826,                0.84251,                 1.2341,                0.84526,                 1.2908,             0.00090785,             0.00090785,             0.00090785
                     49,                0.80795,                  1.365,                0.87421,                 1.1328,                 0.7934,                 0.7347,                0.82725,                0.60758,                0.79557,                0.64314,                0.73089,                0.38632,                0.89782,                 1.2527,                0.84167,                 1.3308,             0.00089134,             0.00089134,             0.00089134
                     50,                 0.8088,                  1.299,                0.86959,                 1.1055,                0.69545,                   0.77,                0.81527,                0.60389,                0.73769,                0.62731,                 0.7239,                0.41893,                0.87644,                 1.2468,                0.84888,                 1.3156,             0.00087484,             0.00087484,             0.00087484
                     51,                0.79618,                 1.2557,                0.86813,                  1.123,                0.73674,                0.77049,                0.79482,                 0.5962,                0.67006,                0.70049,                0.69364,                0.39404,                0.91832,                 1.2906,                0.95477,                 1.3159,             0.00085834,             0.00085834,             0.00085834
                     52,                0.79132,                 1.3832,                0.89666,                 1.1013,                0.68323,                0.72071,                0.72542,                0.56213,                 0.6455,                   0.67,                 0.6374,                0.35249,                0.85562,                  1.266,                 1.0593,                 1.2844,             0.00084184,             0.00084184,             0.00084184
                     53,                0.78314,                 1.3821,                0.86703,                 1.0986,                 0.7377,                0.72377,                0.77258,                0.58906,                0.70022,                0.69124,                0.69797,                0.37786,                0.85402,                 1.2718,                0.93137,                 1.2814,             0.00082533,             0.00082533,             0.00082533
                     54,                0.76301,                 1.3422,                0.84622,                 1.0967,                0.68756,                0.73213,                0.74011,                0.53937,                0.62972,                    0.7,                0.64079,                0.35306,                0.91237,                 1.2626,                0.98965,                  1.318,             0.00080883,             0.00080883,             0.00080883
                     55,                0.74105,                 1.2953,                0.82732,                 1.0546,                0.70164,                0.75249,                0.81032,                0.58569,                0.71507,                    0.7,                0.74367,                0.39103,                0.92288,                 1.2752,                  0.959,                 1.3667,             0.00079233,             0.00079233,             0.00079233
                     56,                0.75425,                 1.2863,                0.83498,                 1.0821,                0.82101,                   0.76,                0.83746,                 0.6094,                0.80545,                 0.6789,                0.73521,                0.39132,                0.93078,                 1.3204,                0.89708,                 1.3378,             0.00077582,             0.00077582,             0.00077582
                     57,                0.72689,                 1.2182,                0.79972,                 1.0693,                0.69012,                    0.8,                0.81436,                0.60339,                0.80662,                0.58706,                 0.6996,                0.39069,                0.85573,                 1.2814,                0.87997,                 1.2874,             0.00075932,             0.00075932,             0.00075932
                     58,                0.70811,                  1.214,                0.76571,                   1.04,                0.67572,                0.76372,                 0.7895,                0.59861,                0.72629,                0.61495,                0.69256,                0.38963,                 0.8112,                 1.2303,                0.88886,                 1.2667,             0.00074282,             0.00074282,             0.00074282
                     59,                 0.7243,                 1.2781,                0.78943,                 1.0463,                0.77644,                0.68577,                 0.8187,                0.60866,                0.60597,                   0.74,                0.71976,                0.40827,                0.85883,                  1.194,                0.89656,                 1.3087,             0.00072631,             0.00072631,             0.00072631
                     60,                0.75989,                 1.2567,                0.78692,                 1.0633,                0.69178,                0.72824,                0.78082,                0.58524,                0.72377,                   0.64,                0.71833,                0.38109,                0.91146,                 1.2632,                0.88547,                 1.3597,             0.00070981,             0.00070981,             0.00070981
                     61,                0.70965,                 1.2785,                0.72859,                 1.0389,                0.74083,                0.74274,                 0.8341,                0.61557,                0.61455,                   0.76,                0.73045,                0.41254,                0.85175,                 1.2555,                0.84061,                 1.3137,             0.00069331,             0.00069331,             0.00069331
                     62,                0.71794,                 1.1631,                   0.75,                 1.0419,                0.78849,                0.71207,                 0.8492,                0.63522,                 0.6929,                0.70949,                0.74796,                0.42487,                0.84071,                 1.2517,                0.80615,                 1.3145,              0.0006768,              0.0006768,              0.0006768
                     63,                0.70473,                 1.2005,                0.71012,                 1.0482,                0.69602,                   0.82,                0.83172,                0.62482,                0.67627,                0.75468,                0.74741,                0.41284,                0.84196,                 1.2229,                0.81608,                  1.314,              0.0006603,              0.0006603,              0.0006603
                     64,                0.71671,                 1.1993,                0.70956,                   1.06,                0.77084,                0.81342,                0.85355,                0.65683,                0.69399,                0.73443,                0.73878,                0.43012,                0.82783,                 1.2685,                0.76141,                 1.2922,              0.0006438,              0.0006438,              0.0006438
                     65,                0.67672,                 1.1329,                0.68648,                 1.0273,                0.74749,                0.85144,                 0.8574,                0.64206,                0.72832,                0.67591,                0.71766,                0.42555,                0.84341,                 1.3257,                0.78912,                 1.2972,             0.00062729,             0.00062729,             0.00062729
                     66,                0.69483,                 1.2049,                 0.6929,                 1.0315,                0.76042,                   0.78,                0.81872,                0.60833,                0.69537,                   0.71,                 0.7195,                0.40848,                 0.8635,                 1.3771,                0.82571,                 1.2955,             0.00061079,             0.00061079,             0.00061079
                     67,                0.67795,                 1.2121,                0.70069,                 1.0157,                 0.7411,                0.79083,                0.81978,                0.61096,                0.70389,                0.68421,                0.68845,                0.40184,                0.90638,                  1.366,                0.83242,                 1.3415,             0.00059429,             0.00059429,             0.00059429
                     68,                0.67754,                 1.3033,                0.73818,                 1.0148,                0.67612,                 0.7909,                0.80643,                0.60759,                0.63473,                   0.75,                0.71467,                0.40786,                0.84798,                  1.317,                0.81874,                 1.2955,             0.00057778,             0.00057778,             0.00057778
                     69,                 0.7248,                 1.2841,                0.73817,                 1.0543,                0.72228,                0.79708,                0.80957,                0.62477,                0.67017,                   0.74,                0.72173,                0.41918,                0.83611,                 1.2653,                0.80294,                 1.2929,             0.00056128,             0.00056128,             0.00056128
                     70,                0.68051,                 1.2914,                0.73632,                 1.0233,                0.76586,                0.77011,                0.80998,                0.62492,                0.69377,                0.68374,                0.70383,                0.40674,                0.83465,                 1.2213,                0.78606,                 1.3035,             0.00054478,             0.00054478,             0.00054478
                     71,                0.65163,                 1.2495,                0.69142,                 1.0242,                0.81718,                   0.72,                0.80965,                 0.6017,                0.75781,                   0.66,                0.70199,                0.41781,                0.87286,                 1.2103,                 0.8599,                 1.3257,             0.00052827,             0.00052827,             0.00052827
                     72,                0.68162,                   1.28,                0.72482,                 1.0414,                0.80763,                    0.7,                0.79909,                0.59914,                 0.7693,                0.64573,                0.73573,                0.42786,                0.90429,                  1.209,                0.93099,                 1.3415,             0.00051177,             0.00051177,             0.00051177
                     73,                0.65371,                 1.1826,                0.66465,                 1.0381,                0.76357,                0.72582,                0.80626,                0.60605,                0.76277,                0.64479,                 0.7235,                0.43084,                0.85579,                 1.1778,                0.91935,                  1.325,             0.00049527,             0.00049527,             0.00049527
                     74,                0.64355,                 1.1498,                0.66206,                 1.0088,                0.76422,                   0.77,                0.82478,                0.60879,                 0.8219,                   0.64,                0.74655,                0.43939,                0.89423,                   1.19,                0.86579,                 1.3365,             0.00047876,             0.00047876,             0.00047876
                     75,                0.64757,                 1.1703,                0.67896,                 1.0243,                0.77704,                    0.8,                0.85511,                0.66393,                0.76516,                   0.76,                0.76921,                0.43662,                0.77109,                 1.2266,                0.75682,                  1.262,             0.00046226,             0.00046226,             0.00046226
                     76,                0.66293,                 1.1899,                0.69666,                 1.0292,                0.79345,                   0.78,                0.85545,                0.66334,                0.74726,                   0.74,                0.75359,                0.41966,                0.76164,                 1.2487,                0.78889,                  1.216,             0.00044576,             0.00044576,             0.00044576
                     77,                0.65412,                 1.1601,                0.63174,                 1.0081,                0.79815,                0.76788,                0.84478,                0.64683,                0.78034,                0.70137,                0.74356,                 0.4296,                 0.7695,                  1.256,                 0.8051,                 1.2009,             0.00042925,             0.00042925,             0.00042925
                     78,                 0.6605,                 1.2293,                0.68381,                 1.0195,                0.85945,                0.68422,                0.83317,                0.64009,                0.69325,                   0.72,                0.73705,                0.42586,                0.81091,                 1.2504,                0.81006,                 1.2313,             0.00041275,             0.00041275,             0.00041275
                     79,                0.61821,                 1.1162,                0.65047,                 1.0133,                0.83863,                 0.6798,                 0.8345,                0.63801,                0.66626,                    0.7,                0.71571,                 0.4267,                0.82602,                  1.203,                0.83469,                 1.2668,             0.00039625,             0.00039625,             0.00039625
                     80,                0.64851,                 1.2067,                0.65584,                 1.0162,                0.67973,                   0.86,                  0.855,                0.66561,                0.72891,                0.67242,                0.74701,                0.44738,                0.78373,                  1.182,                0.79585,                 1.2346,             0.00037974,             0.00037974,             0.00037974
                     81,                0.63491,                  1.221,                0.65076,                0.99804,                0.80031,                   0.81,                0.87083,                0.65752,                0.76565,                0.72437,                0.77655,                0.46171,                0.80972,                 1.2113,                0.73932,                 1.2498,             0.00036324,             0.00036324,             0.00036324
                     82,                0.57707,                 1.1013,                0.60334,                 0.9784,                0.81903,                0.74706,                0.85699,                0.65095,                 0.7645,                0.69478,                0.74947,                0.45623,                0.80029,                 1.2094,                0.75658,                 1.2533,             0.00034674,             0.00034674,             0.00034674
                     83,                0.55586,                 1.0226,                 0.5463,                 0.9594,                0.80307,                   0.72,                0.83544,                0.64172,                0.73755,                   0.66,                0.73146,                0.43373,                 0.7976,                 1.2346,                0.82308,                 1.2427,             0.00033023,             0.00033023,             0.00033023
                     84,                0.59011,                 1.1294,                0.57244,                0.97951,                0.78592,                0.73506,                0.84803,                  0.666,                0.78323,                   0.65,                0.75292,                 0.4408,                0.78713,                 1.2249,                0.76818,                 1.2448,             0.00031373,             0.00031373,             0.00031373
                     85,                0.56806,                 1.0794,                0.52685,                0.95186,                 0.7043,                0.83248,                0.85053,                0.65895,                 0.6639,                   0.78,                0.76859,                0.44576,                 0.7867,                 1.2286,                0.75729,                 1.2538,             0.00029723,             0.00029723,             0.00029723
                     86,                0.57212,                 1.0916,                0.53226,                0.97999,                0.70685,                   0.84,                 0.8492,                0.66553,                0.80288,                   0.67,                0.77066,                0.44619,                0.77917,                  1.222,                0.74107,                 1.2507,             0.00028072,             0.00028072,             0.00028072
                     87,                 0.5621,                 1.0845,                 0.5615,                0.98562,                 0.8165,                   0.78,                0.86351,                0.66744,                0.77575,                0.72704,                0.77525,                0.43941,                0.79038,                 1.2642,                0.72002,                  1.272,             0.00026422,             0.00026422,             0.00026422
                     88,                0.57249,                 1.0707,                0.54035,                0.96305,                0.77329,                0.79779,                0.85563,                0.65795,                0.74586,                  0.723,                0.78201,                0.43749,                0.79835,                 1.2302,                0.70796,                 1.2889,             0.00024772,             0.00024772,             0.00024772
                     89,                0.55251,                0.99349,                0.52838,                0.97364,                0.73803,                0.83713,                0.87323,                0.68017,                0.85554,                0.64829,                0.77659,                0.44576,                0.78336,                 1.2126,                0.68506,                 1.2801,             0.00023121,             0.00023121,             0.00023121
                     90,                0.55814,                 1.0969,                 0.5804,                0.97129,                0.77343,                0.79923,                 0.8608,                0.68032,                 0.7806,                0.72404,                0.78991,                0.45726,                0.77035,                  1.219,                0.68457,                 1.2653,             0.00021471,             0.00021471,             0.00021471
                     91,                0.48557,                0.84114,                0.44789,                 1.0218,                0.82091,                0.73083,                0.84556,                0.68254,                0.81704,                   0.71,                0.77129,                0.45798,                 0.7749,                 1.2286,                0.70702,                 1.2772,             0.00019821,             0.00019821,             0.00019821
                     92,                0.47332,                0.83766,                0.43261,                 1.0197,                0.81422,                   0.76,                0.83933,                0.68175,                0.78416,                   0.73,                 0.7453,                0.44097,                0.75652,                 1.2459,                0.73461,                 1.2552,              0.0001817,              0.0001817,              0.0001817
                     93,                 0.4745,                0.79464,                0.38345,                 1.0087,                0.80685,                0.79673,                0.85192,                0.68823,                0.77607,                0.76673,                 0.7997,                0.46622,                0.73673,                 1.2002,                0.68985,                 1.2363,              0.0001652,              0.0001652,              0.0001652
                     94,                0.45777,                0.78359,                0.36796,                 1.0009,                 0.8042,                0.83858,                0.85873,                0.68934,                0.78654,                   0.77,                0.80711,                0.47423,                0.74358,                 1.1909,                0.68359,                 1.2463,              0.0001487,              0.0001487,              0.0001487
                     95,                0.45377,                0.75857,                0.38915,                 1.0036,                0.77478,                0.80758,                0.84911,                0.68552,                0.73926,                0.75981,                0.76123,                0.46421,                 0.7465,                 1.2012,                0.71902,                 1.2478,             0.00013219,             0.00013219,             0.00013219
                     96,                0.43887,                0.75298,                0.33153,                 0.9543,                0.75981,                   0.79,                0.84376,                0.68193,                0.77759,                   0.69,                0.75311,                0.45247,                0.74685,                 1.2036,                0.74605,                 1.2505,             0.00011569,             0.00011569,             0.00011569
                     97,                0.42951,                0.75296,                0.34686,                0.93965,                0.83343,                0.77272,                0.86383,                0.69993,                0.79667,                0.74492,                0.80591,                0.46453,                0.72877,                 1.2188,                0.68021,                 1.2471,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.44872,                0.78046,                 0.3689,                0.97589,                0.83333,                0.77195,                0.85932,                0.70616,                0.80049,                0.74271,                0.80116,                0.46741,                 0.7255,                 1.2148,                0.67683,                 1.2456,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.42662,                0.74415,                0.34289,                0.98149,                 0.7687,                0.83301,                0.85875,                0.70203,                0.72736,                0.79649,                0.79454,                  0.466,                0.72675,                 1.2114,                0.68325,                 1.2401,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.41227,                0.73741,                0.32808,                0.96827,                 0.7992,                0.79071,                0.85564,                0.70441,                0.76923,                 0.7588,                0.77999,                0.46109,                0.72158,                  1.224,                 0.6771,                 1.2351,             4.9677e-05,             4.9677e-05,             4.9677e-05
