                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.86648,                 1.3281,                0.96562,                 1.0365,                0.70307,                    0.6,                0.70093,                0.48758,                0.62842,                0.55166,                0.59079,                0.32382,                 1.0266,                 1.4155,                 1.1646,                 1.1973,              0.0010894,              0.0010894,              0.0010894
                     38,                 0.8539,                 1.3791,                0.99669,                 1.0479,                0.63518,                 0.6717,                0.69302,                0.48538,                0.62904,                   0.56,                0.55794,                0.30413,                0.99525,                 1.4601,                 1.1641,                  1.169,              0.0010729,              0.0010729,              0.0010729
                     39,                0.86821,                 1.4736,                0.97385,                 1.0458,                0.72388,                0.70662,                0.76571,                0.57032,                0.61714,                 0.6447,                0.64672,                0.33187,                0.90796,                 1.4179,                 1.0392,                 1.1242,              0.0010564,              0.0010564,              0.0010564
                     40,                0.82806,                 1.4066,                0.94147,                 1.0329,                0.66979,                0.72963,                0.78264,                0.58837,                0.70844,                   0.58,                0.66815,                0.35558,                0.87219,                 1.3975,                0.97284,                 1.1042,              0.0010399,              0.0010399,              0.0010399
                     41,                0.87594,                 1.4611,                0.93028,                 1.0497,                0.79496,                    0.7,                0.79883,                0.57144,                0.71276,                   0.64,                0.69201,                 0.3581,                0.98766,                 1.3735,                 0.9916,                 1.2119,              0.0010234,              0.0010234,              0.0010234
                     42,                0.85237,                 1.2506,                0.95836,                 1.0595,                0.78177,                0.67854,                0.79523,                0.56002,                0.74954,                0.63714,                0.70077,                0.39016,                 1.0034,                 1.3842,                 1.0074,                 1.2146,              0.0010069,              0.0010069,              0.0010069
                     43,                0.81773,                 1.3046,                0.88416,                 1.0207,                0.79726,                 0.6158,                0.76634,                 0.5833,                0.73608,                0.56041,                0.65255,                 0.3682,                0.86098,                 1.3673,                0.98872,                 1.1036,             0.00099036,             0.00099036,             0.00099036
                     44,                0.81889,                 1.3759,                0.86383,                 1.0289,                0.75894,                   0.69,                0.79363,                0.57618,                 0.6679,                   0.61,                0.65537,                0.36117,                0.95999,                 1.4349,                0.95453,                 1.1664,             0.00097386,             0.00097386,             0.00097386
                     45,                0.81407,                 1.3306,                0.90527,                 1.0422,                0.77359,                   0.67,                0.79826,                0.59971,                 0.6953,                    0.6,                0.67856,                0.34973,                0.96897,                 1.4569,                0.98221,                 1.1454,             0.00095736,             0.00095736,             0.00095736
                     46,                0.82235,                  1.359,                0.87998,                 1.0269,                0.71952,                 0.7945,                0.81924,                0.62865,                0.76673,                   0.67,                0.73245,                0.38595,                0.91568,                 1.3913,                0.91862,                 1.1375,             0.00094085,             0.00094085,             0.00094085
