                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.58423,                 1.1282,                0.62156,                0.99313,                0.78807,                    0.8,                0.83484,                0.62866,                0.73651,                0.74496,                0.74993,                0.42977,                0.80425,                 1.3715,                0.73431,                 1.2782,             0.00026422,             0.00026422,             0.00026422
                     88,                0.58683,                 1.1366,                0.60527,                0.97761,                0.76805,                0.81841,                0.84184,                0.62676,                0.70499,                   0.78,                0.74753,                0.42383,                0.80105,                 1.3392,                0.72943,                 1.2863,             0.00024772,             0.00024772,             0.00024772
                     89,                0.57961,                 1.0494,                0.58494,                0.98494,                 0.7706,                   0.81,                0.83213,                0.63703,                0.75399,                0.79984,                0.77377,                0.42791,                 0.7836,                 1.3147,                0.71406,                 1.2666,             0.00023121,             0.00023121,             0.00023121
                     90,                0.57505,                  1.191,                0.61401,                 0.9704,                0.82603,                0.75613,                0.83345,                0.63944,                0.76533,                0.71756,                0.74943,                  0.442,                0.78215,                  1.301,                0.72138,                 1.2653,             0.00021471,             0.00021471,             0.00021471
                     91,                0.48432,                0.88294,                0.50085,                 1.0024,                0.79008,                   0.74,                0.80645,                0.61723,                0.75366,                   0.68,                0.70942,                0.41944,                0.77807,                 1.2998,                0.78826,                 1.2858,             0.00019821,             0.00019821,             0.00019821
                     92,                0.47088,                0.88789,                0.46201,                  1.005,                0.71187,                   0.79,                0.79739,                0.61829,                0.67521,                   0.75,                0.70359,                0.40928,                0.78492,                 1.3416,                0.80712,                 1.2938,              0.0001817,              0.0001817,              0.0001817
                     93,                0.45402,                 0.8292,                0.40471,                 0.9805,                0.82373,                   0.73,                0.82082,                0.63404,                0.74061,                   0.67,                0.72783,                0.43043,                0.77181,                 1.3437,                0.78228,                 1.2626,              0.0001652,              0.0001652,              0.0001652
                     94,                0.45296,                0.80821,                0.40243,                0.99213,                0.80326,                0.72815,                0.81574,                 0.6424,                0.77315,                0.69701,                0.76082,                0.43362,                0.76865,                 1.3386,                0.79638,                 1.2665,              0.0001487,              0.0001487,              0.0001487
                     95,                0.45142,                0.80471,                0.40091,                0.99395,                0.76966,                   0.79,                0.81296,                0.63652,                0.71205,                    0.7,                0.72195,                0.43112,                0.75377,                 1.3411,                0.80296,                 1.2679,             0.00013219,             0.00013219,             0.00013219
                     96,                0.42129,                0.79182,                 0.3661,                0.92917,                0.83165,                0.69105,                0.80938,                0.63242,                0.69886,                0.71668,                0.72951,                0.42987,                0.76166,                 1.3474,                0.81049,                 1.2812,             0.00011569,             0.00011569,             0.00011569
                     97,                0.42784,                0.79898,                0.35733,                 0.9362,                0.78902,                0.69512,                0.81151,                0.63894,                0.78628,                0.66372,                0.74235,                0.43832,                0.76232,                  1.341,                0.79381,                 1.2734,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.43318,                0.83042,                0.36955,                0.95523,                0.72292,                0.79768,                0.82102,                  0.644,                0.66452,                   0.77,                0.74142,                0.43192,                0.75839,                 1.3582,                  0.797,                 1.2621,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.41675,                0.77565,                0.36088,                0.96971,                 0.8395,                0.75772,                0.81369,                0.64908,                0.70282,                   0.74,                0.73091,                0.42798,                0.76634,                 1.3759,                 0.7918,                 1.2731,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.40777,                0.76571,                0.37191,                0.95791,                0.77811,                0.77557,                0.81063,                0.64834,                0.71925,                0.73304,                0.74034,                0.42418,                0.77638,                 1.3899,                0.78761,                 1.2879,             4.9677e-05,             4.9677e-05,             4.9677e-05
